,treatment_toll,death_toll,etaw_toll,patient_toll
1013,0,0,0,297
1014,0,0,0,297
1015,0,0,0,297
1016,0,0,0,297
1017,0,0,0,297
1018,0,0,0,297
1019,0,0,0,297
1020,0,0,0,297
1021,0,0,0,297
1022,0,0,0,297
1023,0,0,0,297
1024,0,0,0,297
1025,0,0,0,297
1026,0,0,0,297
1027,0,0,0,297
1028,0,0,0,297
1029,0,0,0,297
1030,0,0,0,297
1031,0,0,0,297
1032,0,0,0,297
1033,0,0,0,297
1034,0,0,0,297
1035,0,0,0,297
1036,0,0,0,297
1037,0,0,0,297
1038,0,0,0,297
1039,0,0,0,297
1040,0,0,0,297
1041,0,0,0,297
1042,0,0,0,297
1043,0,0,0,297
1044,0,0,0,297
1045,0,0,0,297
1046,0,0,0,297
1047,0,0,0,297
1048,0,0,0,297
1049,0,0,0,297
1050,0,0,0,297
1051,0,0,0,297
1052,0,0,0,297
1053,0,0,0,297
1054,0,0,0,297
1055,0,0,0,297
1056,0,0,0,297
1057,0,0,0,297
1058,0,0,0,297
1059,0,0,0,297
1060,0,0,0,297
1061,0,0,0,297
1062,0,0,0,297
1063,0,0,0,297
1064,0,0,0,297
1065,0,0,0,297
1066,0,0,0,297
1067,0,0,0,297
1068,0,0,0,297
1069,0,0,0,297
1070,0,0,0,297
1071,0,0,0,297
1072,0,0,0,297
1073,0,0,0,297
1074,0,0,0,297
1075,0,0,0,297
1076,0,0,0,297
1077,0,0,0,297
1078,0,0,0,297
1079,0,0,0,297
1080,0,0,0,297
1081,0,0,0,297
1082,0,0,0,297
1083,0,0,0,297
1084,0,0,0,297
1085,0,0,0,297
1086,0,0,0,297
1087,0,0,0,297
1088,0,0,0,297
1089,0,0,0,297
1090,0,0,0,297
1091,0,0,0,297
1092,0,0,0,297
1093,0,0,0,297
1094,0,0,0,297
1095,0,0,0,297
1096,0,0,0,297
1097,0,0,0,297
1098,0,0,0,297
1099,0,0,0,297
1100,0,0,0,297
1101,0,0,0,297
1102,0,0,0,297
1103,0,0,0,297
1104,0,0,0,297
1105,0,0,0,297
1106,0,0,0,297
1107,0,0,0,297
1108,0,0,0,297
1109,0,0,0,297
1110,0,0,0,297
1111,0,0,0,297
1112,0,0,0,297
1113,0,0,0,297
1114,0,0,0,297
1115,0,0,0,297
1116,0,0,0,297
1117,0,0,0,297
1118,0,0,0,297
1119,0,0,0,297
1120,0,0,0,297
1121,0,0,0,297
1122,0,0,0,297
1123,0,0,0,297
1124,0,0,0,297
1125,0,0,0,297
1126,0,0,0,297
1127,0,0,0,297
1128,0,0,0,297
1129,0,0,0,297
1130,0,0,0,297
1131,0,0,0,297
1132,0,0,0,297
1133,0,0,0,297
1134,0,0,0,297
1135,0,0,0,297
1136,0,0,0,297
1137,0,0,0,297
1138,0,0,0,297
1139,0,0,0,297
1140,0,0,0,297
1141,0,0,0,297
1142,0,0,0,297
1143,0,0,0,297
1144,0,0,0,297
1145,0,0,0,297
1146,0,0,0,297
1147,0,0,0,297
1148,0,0,0,297
1149,0,0,0,297
1150,0,0,0,297
1151,0,0,0,297
1152,0,0,0,297
1153,0,0,0,297
1154,0,0,0,297
1155,0,0,0,297
1156,0,0,0,297
1157,0,0,0,297
1158,0,0,0,297
1159,0,0,0,297
1160,0,0,0,297
1161,0,0,0,297
1162,0,0,0,297
1163,0,0,0,297
1164,0,0,0,297
1165,0,0,0,297
1166,0,0,0,297
1167,0,0,0,297
1168,0,0,0,297
1169,0,0,0,297
1170,0,0,0,297
1171,0,0,0,297
1172,0,0,0,297
1173,0,0,0,297
1174,0,0,0,297
1175,0,0,0,297
1176,0,0,0,297
1177,0,0,0,297
1178,0,0,0,297
1179,0,0,0,297
1180,0,0,0,297
1181,0,0,0,297
1182,0,0,0,297
1183,0,0,0,297
1184,0,0,0,297
1185,0,0,0,297
1186,0,0,0,297
1187,0,0,0,297
1188,0,0,0,297
1189,0,0,0,297
1190,0,0,0,297
1191,0,0,0,297
1192,0,0,0,297
1193,0,0,0,297
1194,0,0,0,297
1195,0,0,0,297
1196,0,0,0,297
1197,0,0,0,297
1198,0,0,0,297
1199,0,0,0,297
1200,0,0,0,297
1201,0,0,0,297
1202,0,0,0,297
1203,0,0,0,297
1204,0,0,0,297
1205,0,0,0,297
1206,0,0,0,297
1207,0,0,0,297
1208,0,0,0,297
1209,0,0,0,297
1210,0,0,0,297
1211,0,0,0,297
1212,0,0,0,297
1213,0,0,0,297
1214,0,0,0,297
1215,0,0,0,297
1216,0,0,0,297
1217,0,0,0,297
1218,0,0,0,297
1219,0,0,0,297
1220,0,0,0,297
1221,0,0,0,297
1222,0,0,0,297
1223,0,0,0,297
1224,0,0,0,297
1225,0,0,0,297
1226,0,0,0,297
1227,0,0,0,297
1228,0,0,0,297
1229,0,0,0,297
1230,0,0,0,297
1231,0,0,0,297
1232,0,0,0,297
1233,0,0,0,297
1234,0,0,0,297
1235,0,0,0,297
1236,0,0,0,297
1237,0,0,0,297
1238,0,0,0,297
1239,0,0,0,297
1240,0,0,0,297
1241,0,0,0,297
1242,0,0,0,297
1243,0,0,0,297
1244,0,0,0,297
1245,0,0,0,297
1246,0,0,0,297
1247,0,0,0,297
1248,0,0,0,297
1249,0,0,0,297
1250,0,0,0,297
1251,0,0,0,297
1252,0,0,0,297
1253,0,0,0,297
1254,0,0,0,297
1255,0,0,0,297
1256,0,0,0,297
1257,0,0,0,297
1258,0,0,0,297
